id;tweet;retweeted_status;hashtags
998502942217977856;RT @ladevita12: ÉTATS-UNIS - Trump exige une enquête sur une « infiltration »  #lapresseplus https://t.co/2NqvWyTsR2;ÉTATS-UNIS - Trump exige une enquête sur une « infiltration »  #lapresseplus https://t.co/2NqvWyTsR2;[lapresseplus]
998503259471040513;RT @Qofficiel: Des gamins de 11 ans qui démontent des kalachnikovs en 10 secondes.👉 Bienvenue dans une école de cosaques où l’on forme la…;Des gamins de 11 ans qui démontent des kalachnikovs en 10 secondes.👉 Bienvenue dans une école de cosaques où l’on forme la jeunesse à embrasser un idéal : celui de la grande Russie.🇷🇺 #LEmpireDePoutine avec @mweill📅 Mardi, à 21H📺 @TMCtv https://t.co/hNYGmTC6xl;[]
998506277407023104;RT @enfantdlajungle: Toi qui lit ce tweet, je te souhaite d'être vraiment heureux, je sais que tu as tenté de rendre heureux ton entourage…;Toi qui lit ce tweet, je te souhaite d'être vraiment heureux, je sais que tu as tenté de rendre heureux ton entourage mais qu'il n'a pas toujours fais de même pour toi. Puisque tout le monde a droit au bonheur, j'espère de tout mon coeur que tout ira pour le mieux dans ta vie;[]
998506596190818304;RT @CaronAymericoff: #Moix avait dit de moi, qui suis un militant pacifiste partisan de la non-violence, que je suis quelqu'un de "dangereu…;#Moix avait dit de moi, qui suis un militant pacifiste partisan de la non-violence, que je suis quelqu'un de "dangereux" à cause de ma vision du conflit israélo-palestinien. Ce même #Moix encense aujourd'hui Trump qui enflamme la région. #Guignol. https://t.co/7VLXHSova3;[moix]
998193256990216192;Le #Hezbollah à perdu plus d’hommes contre des musulmans en #Syrie que contre des soldats israéliens il a renforcé sa coordination avec l’armée libanaise et au #SudLiban avec 8000 h  déployés en permanence ,le régime et le #Hezbollah ont récupéré le territoire sur #Daesh https://t.co/uVcqWhcfcK;Not a retweet;[]
998262076991684609;À l’occasion du #WorldBeeDay, nous avons mis Donald Trump (oui, oui, LE Donald Trump) dans la peau d’une abeille. Le résultat est... impressionnant. 🐝 https://t.co/h92EzXMibg;Not a retweet;[]
998459827914493952;@AndjelkaPe En #Russie aussi, être un #Chien, ça fait tache pendant une #FIFAeClubWorldCup.➡ La Russie massacre tous les chiens errants pour "nettoyer" ses rues avant la Coupe du Monde #shame #Russia 🐶🔫 https://t.co/runQOTes25;Not a retweet;[]
998492315147784192;#Syrie: Des dépôts de #munitions de l’#OTAN découverts à #Homs: https://t.co/iKBooR7Lbh via @sputnik_fr;Not a retweet;[syrie, munitions, otan, homs]
998495603930910720;RT @Khalifehpaul: Sources syriennes: mort de trois soldats américains lorsque leur véhicule s'est accidentellement renversé à #Hassaké #Syr…;Sources syriennes: mort de trois soldats américains lorsque leur véhicule s'est accidentellement renversé à #Hassaké #Syrie #USArmy #Damas #GuerreSyrienne;[hassaké]
998495675334656001;RT @SJallamion: Un attentat islamiste ? Non : un "malheur sur le territoire français". Des djihadistes partis combattre en Syrie ? Non : de…;Un attentat islamiste ? Non : un "malheur sur le territoire français". Des djihadistes partis combattre en Syrie ? Non : des "jeunes partis faire des galipettes", comparés à des enfants perturbant un anniversaire. Si Yassine Belattar est un "porte parole", c'est celui de l'ennemi;[]
